Transaction_ID,Customer_ID,Amount,Payment_Method,Location,Risk_Score,Risk_Level,Fraud_Reason,Transaction_Date,Transaction_Time
TXN00021904,CUST03027,2995.57,UPI,Bhopal,85,High,Velocity Attack,2023-08-21,16:03:43
TXN00054109,CUST01184,2931.53,UPI,Nagpur,85,High,Velocity Attack,2023-11-16,01:15:55
TXN00027475,CUST05380,2466.38,UPI,Aurangabad,85,High,Velocity Attack,2025-05-14,23:27:52
TXN00056952,CUST09798,2354.9,UPI,Jaipur,85,High,Velocity Attack,2024-12-21,05:35:25
TXN00074771,CUST04712,2173.17,UPI,Bhubaneswar,85,High,Velocity Attack,2024-06-09,01:42:35
TXN00054414,CUST05190,2053.03,UPI,Mysuru,85,High,Velocity Attack,2024-05-17,14:14:47
TXN00068140,CUST02851,1971.51,UPI,Jaipur,85,High,Velocity Attack,2023-03-15,02:29:44
TXN00073058,CUST07548,1808.47,UPI,Thane,85,High,Velocity Attack,2022-11-13,22:16:55
TXN00050542,CUST07330,1713.22,UPI,Pune,85,High,Velocity Attack,2021-02-04,22:31:53
TXN00084370,CUST06138,1707.97,UPI,Mumbai,85,High,Velocity Attack,2025-12-18,07:47:33
TXN00017276,CUST09758,1695.94,UPI,Patna,85,High,Velocity Attack,2021-03-01,21:22:33
TXN00084066,CUST07745,1436.78,UPI,Bhopal,85,High,Velocity Attack,2023-01-19,06:30:29
TXN00021413,CUST07746,1435.25,UPI,Kochi,85,High,Velocity Attack,2022-06-14,03:20:55
TXN00065265,CUST06519,1425.25,UPI,Patna,85,High,Velocity Attack,2023-02-05,12:49:32
TXN00077340,CUST03290,1305.41,UPI,Mumbai,85,High,Velocity Attack,2021-01-24,16:17:13
TXN00043363,CUST06108,1250.64,UPI,Chandigarh,85,High,Velocity Attack,2024-08-05,22:02:48
TXN00083896,CUST01816,1248.03,UPI,Mysuru,85,High,Velocity Attack,2024-02-08,22:53:08
TXN00044092,CUST08688,961.84,UPI,Ranchi,85,High,Velocity Attack,2021-07-06,21:50:02
TXN00034529,CUST00161,949.22,UPI,Nashik,85,High,Velocity Attack,2021-07-21,08:41:51
TXN00062853,CUST03188,801.14,UPI,Nagpur,85,High,Velocity Attack,2021-09-27,08:06:43
TXN00051269,CUST00005,577.86,UPI,Lucknow,85,High,Velocity Attack,2023-06-20,12:10:41
TXN00036153,CUST07013,563.7,UPI,Bengaluru,85,High,Velocity Attack,2025-04-30,20:44:49
TXN00082003,CUST07613,550.54,UPI,Gurugram,85,High,Velocity Attack,2023-07-06,08:55:20
TXN00039574,CUST02247,459.39,UPI,Vadodara,85,High,Velocity Attack,2021-12-15,03:34:36
TXN00084188,CUST05636,337.91,UPI,Delhi,85,High,Velocity Attack,2024-12-12,04:01:49
TXN00009664,CUST03599,321.08,UPI,Bhubaneswar,85,High,Velocity Attack,2023-07-16,00:16:14
TXN00010974,CUST03886,227.02,UPI,Bhopal,85,High,Velocity Attack,2021-11-12,20:05:08
TXN00050706,CUST08134,130.87,UPI,Navi Mumbai,85,High,Velocity Attack,2022-09-21,00:24:37
TXN00064699,CUST02427,117.43,UPI,Ranchi,85,High,Velocity Attack,2024-04-04,00:53:33
TXN00047918,CUST02637,99916.14,UPI,Aurangabad,75,High,Velocity Attack,2025-11-01,16:00:38
TXN00023585,CUST08649,87341.95,UPI,Noida,75,High,Velocity Attack,2024-11-07,03:11:36
TXN00094190,CUST06364,83416.2,UPI,Lucknow,75,High,Velocity Attack,2022-02-09,14:48:28
TXN00020621,CUST03365,79346.3,UPI,Bhopal,75,High,Velocity Attack,2025-11-24,07:39:17
TXN00014778,CUST05900,67345.95,UPI,Ranchi,75,High,Velocity Attack,2022-03-05,20:27:42
TXN00035019,CUST02523,65989.73,UPI,Surat,75,High,Velocity Attack,2023-09-22,02:40:30
TXN00006282,CUST04414,54541.92,UPI,Patna,75,High,Velocity Attack,2023-07-08,16:25:51
TXN00076520,CUST04802,52033.42,UPI,Kochi,75,High,Velocity Attack,2024-04-17,18:55:56
TXN00010127,CUST04463,47343.68,UPI,Navi Mumbai,75,High,Velocity Attack,2022-05-29,10:03:30
TXN00040742,CUST07030,44583.38,UPI,Hyderabad,75,High,Velocity Attack,2023-05-25,20:26:18
TXN00001101,CUST03432,42327.98,UPI,Patna,75,High,Velocity Attack,2024-11-21,08:13:51
TXN00056772,CUST01281,40217.55,UPI,Bengaluru,75,High,Velocity Attack,2022-07-17,21:39:38
TXN00046014,CUST08960,34714.9,UPI,Thiruvananthapuram,75,High,Velocity Attack,2023-12-17,22:57:21
TXN00075669,CUST06390,34209.28,UPI,Nagpur,75,High,Velocity Attack,2022-02-21,14:04:45
TXN00063566,CUST09653,32574.44,UPI,Nashik,75,High,Velocity Attack,2022-02-18,11:38:17
TXN00058587,CUST01961,28100.74,UPI,Indore,75,High,Velocity Attack,2025-02-10,16:08:10
TXN00058801,CUST06859,27674.35,UPI,Mumbai,75,High,Velocity Attack,2023-07-26,15:24:58
TXN00009697,CUST04887,26995.5,UPI,Kolkata,75,High,Velocity Attack,2023-05-13,22:34:23
TXN00017576,CUST00615,25583.88,UPI,Ahmedabad,75,High,Velocity Attack,2021-07-04,03:05:03
TXN00082100,CUST05000,25417.76,UPI,Indore,75,High,Velocity Attack,2021-03-21,18:19:04
TXN00087966,CUST02595,25118.34,UPI,Coimbatore,75,High,Velocity Attack,2021-09-22,17:09:38
TXN00084905,CUST08761,23066.89,UPI,Noida,75,High,Velocity Attack,2024-08-26,06:52:01
TXN00023111,CUST04172,22099.03,UPI,Ranchi,75,High,Velocity Attack,2024-04-12,23:38:42
TXN00025531,CUST08653,20689.32,UPI,Jaipur,75,High,Velocity Attack,2023-06-07,04:49:33
TXN00017660,CUST07277,18474.92,UPI,Coimbatore,75,High,Velocity Attack,2025-11-23,03:05:56
TXN00030495,CUST01439,17880.09,UPI,Chandigarh,75,High,Velocity Attack,2023-07-26,02:43:28
TXN00067255,CUST01243,17640.59,UPI,Noida,75,High,Velocity Attack,2024-10-21,10:04:43
TXN00074481,CUST01085,16801.4,UPI,Surat,75,High,Velocity Attack,2022-02-14,20:42:03
TXN00061047,CUST08827,16620.18,UPI,Lucknow,75,High,Velocity Attack,2024-01-07,12:57:57
TXN00030454,CUST09899,15750.56,UPI,Bhopal,75,High,Velocity Attack,2021-03-02,19:47:29
TXN00069958,CUST06043,15319.5,UPI,Coimbatore,75,High,Velocity Attack,2021-06-19,19:44:28
TXN00052309,CUST03304,13896.3,UPI,Thane,75,High,Velocity Attack,2022-11-11,11:04:08
TXN00038498,CUST05538,13729.55,UPI,Kochi,75,High,Velocity Attack,2025-02-25,17:48:02
TXN00096739,CUST00186,13616.73,UPI,Bengaluru,75,High,Velocity Attack,2022-06-24,13:53:24
TXN00098490,CUST03890,13609.59,UPI,Jaipur,75,High,Velocity Attack,2021-10-12,03:07:49
TXN00064203,CUST06172,12609.84,UPI,Kochi,75,High,Velocity Attack,2021-12-30,12:08:57
TXN00055150,CUST07686,12472.46,UPI,Navi Mumbai,75,High,Velocity Attack,2025-02-08,14:52:08
TXN00006062,CUST07192,11206.55,UPI,Bhopal,75,High,Velocity Attack,2021-03-15,09:56:15
TXN00009756,CUST07020,10857.13,UPI,Kochi,75,High,Velocity Attack,2021-05-02,02:13:32
TXN00022983,CUST03927,10798.14,UPI,Surat,75,High,Velocity Attack,2025-11-23,10:57:32
TXN00066627,CUST03903,10565.26,UPI,Thane,75,High,Velocity Attack,2024-02-13,20:07:58
TXN00067716,CUST09780,10550.12,UPI,Visakhapatnam,75,High,Velocity Attack,2025-07-05,03:45:15
TXN00089307,CUST06958,10162.9,UPI,Pune,75,High,Velocity Attack,2023-01-16,22:56:16
TXN00032383,CUST07461,9861.56,UPI,Mumbai,75,High,Velocity Attack,2024-09-01,09:50:17
TXN00098033,CUST05276,9540.87,UPI,Ranchi,75,High,Velocity Attack,2023-08-21,05:50:37
TXN00023863,CUST07363,9334.65,UPI,Hyderabad,75,High,Velocity Attack,2022-03-17,18:44:10
TXN00077870,CUST03744,8886.48,UPI,Pune,75,High,Velocity Attack,2023-10-23,20:29:30
TXN00089761,CUST02509,8757.55,UPI,Gurugram,75,High,Velocity Attack,2023-10-08,05:19:30
TXN00014015,CUST06984,8683.3,UPI,Chennai,75,High,Velocity Attack,2024-03-23,03:34:05
TXN00033687,CUST00474,8576.82,UPI,Chennai,75,High,Velocity Attack,2024-07-30,17:52:48
TXN00015470,CUST03153,7842.51,UPI,Bhopal,75,High,Velocity Attack,2025-09-30,19:06:53
TXN00069601,CUST08704,7642.95,UPI,Mysuru,75,High,Velocity Attack,2025-10-10,15:20:40
TXN00009851,CUST08382,7568.67,UPI,Visakhapatnam,75,High,Velocity Attack,2021-03-08,20:30:04
TXN00030440,CUST01936,7439.53,UPI,Noida,75,High,Velocity Attack,2021-08-11,14:45:26
TXN00068225,CUST03770,7010.65,UPI,Pune,75,High,Velocity Attack,2025-04-28,23:51:07
TXN00058810,CUST08029,6461.31,UPI,Coimbatore,75,High,Velocity Attack,2025-06-03,05:20:49
TXN00019400,CUST04223,6434.17,UPI,Thiruvananthapuram,75,High,Velocity Attack,2021-11-30,12:46:56
TXN00051816,CUST01180,6420.35,UPI,Delhi,75,High,Velocity Attack,2023-10-30,12:37:14
TXN00083648,CUST03256,6120.52,UPI,Pune,75,High,Velocity Attack,2023-01-08,12:52:37
TXN00059164,CUST08551,5742.94,UPI,Coimbatore,75,High,Velocity Attack,2023-04-10,14:17:34
TXN00004693,CUST05488,5546.12,UPI,Chandigarh,75,High,Velocity Attack,2025-09-20,12:08:07
TXN00049985,CUST03962,5539.11,UPI,Bengaluru,75,High,Velocity Attack,2022-09-15,00:25:41
TXN00054855,CUST05007,5331.92,UPI,Coimbatore,75,High,Velocity Attack,2021-08-04,10:53:28
TXN00092525,CUST01018,5325.89,UPI,Patna,75,High,Velocity Attack,2021-08-26,10:43:09
TXN00045779,CUST03188,5234.25,UPI,Noida,75,High,Velocity Attack,2024-09-19,07:56:03
TXN00085486,CUST04114,5204.55,UPI,Pune,75,High,Velocity Attack,2025-08-11,08:33:17
TXN00079402,CUST09339,5055.16,UPI,Mumbai,75,High,Velocity Attack,2024-07-10,19:34:31
TXN00079504,CUST00798,4894.44,UPI,Kochi,75,High,Velocity Attack,2023-12-04,15:09:15
TXN00018283,CUST00157,4689.29,UPI,Gurugram,75,High,Velocity Attack,2025-09-18,10:17:21
TXN00044792,CUST03521,4509.78,UPI,Jaipur,75,High,Velocity Attack,2024-08-06,17:23:49
TXN00083086,CUST03889,4188.26,UPI,Kolkata,75,High,Velocity Attack,2022-04-12,13:59:42
TXN00087974,CUST00462,3771.28,UPI,Noida,75,High,Velocity Attack,2021-12-13,07:53:23
TXN00052354,CUST05281,3601.67,UPI,Ranchi,75,High,Velocity Attack,2022-05-02,11:04:48
TXN00062814,CUST06006,3599.43,UPI,Kochi,75,High,Velocity Attack,2023-03-20,23:46:05
TXN00081092,CUST03028,3437.59,UPI,Coimbatore,75,High,Velocity Attack,2022-05-24,01:28:42
TXN00036716,CUST09995,3356.32,UPI,Kochi,75,High,Velocity Attack,2021-01-31,16:21:49
TXN00013673,CUST06227,3274.07,UPI,Navi Mumbai,75,High,Velocity Attack,2023-02-27,02:26:25
TXN00023413,CUST02528,3155.73,UPI,Hyderabad,75,High,Velocity Attack,2023-05-09,07:22:22
TXN00015145,CUST05635,3111.76,UPI,Chandigarh,75,High,Velocity Attack,2021-10-24,02:34:33
TXN00045858,CUST06829,3104.16,UPI,Mysuru,75,High,Velocity Attack,2024-11-15,09:04:47
TXN00039224,CUST04838,2899.53,UPI,Surat,75,High,Velocity Attack,2024-09-21,14:03:04
TXN00071132,CUST00202,2830.19,UPI,Bhubaneswar,75,High,Velocity Attack,2025-02-12,14:17:08
TXN00082439,CUST08430,2654.4,UPI,Navi Mumbai,75,High,Velocity Attack,2021-08-08,10:21:11
TXN00089672,CUST03441,2617.69,UPI,Nagpur,75,High,Velocity Attack,2025-04-05,18:38:19
TXN00049014,CUST01272,2584.41,UPI,Nashik,75,High,Velocity Attack,2023-12-18,09:24:27
TXN00089658,CUST02823,2454.1,UPI,Thane,75,High,Velocity Attack,2021-10-02,18:32:32
TXN00041896,CUST03387,2343.53,UPI,Coimbatore,75,High,Velocity Attack,2024-09-02,16:00:19
TXN00092096,CUST09919,2235.99,UPI,Aurangabad,75,High,Velocity Attack,2025-01-12,17:19:35
TXN00004102,CUST02061,2218.98,UPI,Delhi,75,High,Velocity Attack,2022-12-06,11:43:34
TXN00091171,CUST08078,2135.02,UPI,Navi Mumbai,75,High,Velocity Attack,2021-11-01,22:02:03
TXN00077664,CUST02114,2116.48,UPI,Chandigarh,75,High,Velocity Attack,2024-09-22,05:03:57
TXN00041586,CUST01866,2060.76,UPI,Navi Mumbai,75,High,Velocity Attack,2022-04-16,16:43:32
TXN00018668,CUST00282,1994.64,UPI,Nagpur,75,High,Velocity Attack,2022-06-08,04:05:51
TXN00051965,CUST01073,1859.72,UPI,Thiruvananthapuram,75,High,Velocity Attack,2023-07-20,23:16:49
TXN00063456,CUST07665,1790.81,UPI,Vadodara,75,High,Velocity Attack,2025-10-23,12:53:34
TXN00089357,CUST02923,1659.23,UPI,Mysuru,75,High,Velocity Attack,2023-05-24,02:06:41
TXN00000231,CUST03871,1652.29,UPI,Lucknow,75,High,Velocity Attack,2024-02-11,17:46:21
TXN00060340,CUST09824,1640.37,UPI,Noida,75,High,Velocity Attack,2021-02-08,15:12:19
TXN00067423,CUST00881,1554.75,UPI,Ahmedabad,75,High,Velocity Attack,2023-05-21,22:43:33
TXN00074073,CUST07272,1520.82,UPI,Bengaluru,75,High,Velocity Attack,2021-04-01,15:06:11
TXN00027379,CUST01890,1510.96,UPI,Coimbatore,75,High,Velocity Attack,2024-02-06,08:48:44
TXN00016498,CUST02204,1477.03,UPI,Bhopal,75,High,Velocity Attack,2025-02-12,00:47:11
TXN00060333,CUST05641,1423.3,UPI,Navi Mumbai,75,High,Velocity Attack,2021-03-25,02:52:23
TXN00050590,CUST09588,1418.16,UPI,Hyderabad,75,High,Velocity Attack,2022-05-14,12:25:49
TXN00020567,CUST01229,1330.05,UPI,Kochi,75,High,Velocity Attack,2024-04-21,16:48:11
TXN00050016,CUST03933,1329.45,UPI,Bhopal,75,High,Velocity Attack,2024-01-11,05:43:22
TXN00046047,CUST00080,1262.17,UPI,Kochi,75,High,Velocity Attack,2025-09-07,12:02:32
TXN00068089,CUST00578,1231.62,UPI,Indore,75,High,Velocity Attack,2024-09-15,09:48:35
TXN00047070,CUST03006,1203.91,UPI,Kolkata,75,High,Velocity Attack,2022-02-16,14:25:33
TXN00080610,CUST09150,1131.47,UPI,Thiruvananthapuram,75,High,Velocity Attack,2023-03-31,17:05:30
TXN00073065,CUST08003,1107.91,UPI,Bengaluru,75,High,Velocity Attack,2023-02-03,09:11:07
TXN00007244,CUST02257,1082.33,UPI,Lucknow,75,High,Velocity Attack,2023-06-26,08:00:17
TXN00073637,CUST05427,1029.23,UPI,Bhubaneswar,75,High,Velocity Attack,2025-07-14,08:50:17
TXN00032042,CUST06333,938.59,UPI,Visakhapatnam,75,High,Velocity Attack,2023-01-05,20:15:12
TXN00084246,CUST09245,914.79,UPI,Bengaluru,75,High,Velocity Attack,2022-11-24,06:10:48
TXN00072405,CUST06787,825.22,UPI,Kolkata,75,High,Velocity Attack,2023-01-18,22:55:28
TXN00039727,CUST06068,795.37,UPI,Patna,75,High,Velocity Attack,2023-08-03,02:58:12
TXN00006153,CUST05614,793.04,UPI,Pune,75,High,Velocity Attack,2022-05-26,00:51:52
TXN00034656,CUST07095,771.37,UPI,Noida,75,High,Velocity Attack,2022-02-28,19:26:39
TXN00017251,CUST05537,739.83,UPI,Bhopal,75,High,Velocity Attack,2021-01-12,05:05:19
TXN00008152,CUST06648,718.72,UPI,Pune,75,High,Velocity Attack,2023-04-23,16:16:36
TXN00010341,CUST08981,695.87,UPI,Chandigarh,75,High,Velocity Attack,2022-04-23,01:29:38
TXN00062122,CUST05953,657.87,UPI,Vadodara,75,High,Velocity Attack,2025-01-24,13:34:57
TXN00002772,CUST05068,650.06,UPI,Nagpur,75,High,Velocity Attack,2022-12-14,18:57:10
TXN00076277,CUST02018,639.44,UPI,Patna,75,High,Velocity Attack,2024-08-11,23:43:36
TXN00009731,CUST08013,632.32,UPI,Hyderabad,75,High,Velocity Attack,2023-11-30,03:11:17
TXN00086113,CUST09547,597.42,UPI,Chandigarh,75,High,Velocity Attack,2021-01-20,15:54:31
TXN00072403,CUST05908,566.54,UPI,Bhubaneswar,75,High,Velocity Attack,2022-03-23,22:52:24
TXN00053442,CUST03604,549.64,UPI,Kochi,75,High,Velocity Attack,2023-09-07,06:07:14
TXN00010121,CUST02652,445.22,UPI,Surat,75,High,Velocity Attack,2022-09-06,10:39:39
TXN00075466,CUST08749,441.94,UPI,Coimbatore,75,High,Velocity Attack,2025-02-15,02:09:26
TXN00042512,CUST03479,291.57,UPI,Bhopal,75,High,Velocity Attack,2021-07-18,19:33:00
TXN00053200,CUST02885,258.8,UPI,Indore,75,High,Velocity Attack,2025-03-08,16:32:30
TXN00007809,CUST03243,233.14,UPI,Coimbatore,75,High,Velocity Attack,2021-02-24,05:01:42
TXN00083935,CUST05500,223.02,UPI,Vadodara,75,High,Velocity Attack,2024-11-09,19:13:15
TXN00086825,CUST01230,193.7,UPI,Bhopal,75,High,Velocity Attack,2022-06-27,06:11:56
TXN00057760,CUST04744,188.12,UPI,Gurugram,75,High,Velocity Attack,2024-03-20,16:32:41
TXN00012182,CUST08710,148.33,UPI,Coimbatore,75,High,Velocity Attack,2024-11-09,23:15:59
TXN00022871,CUST01429,118.42,UPI,Thane,75,High,Velocity Attack,2023-06-17,23:10:03
TXN00095674,CUST09203,114.63,UPI,Coimbatore,75,High,Velocity Attack,2025-02-19,15:58:09
TXN00031794,CUST08170,67.49,UPI,Thane,75,High,Velocity Attack,2023-10-20,20:22:43
TXN00094145,CUST07745,122505.82,UPI,Ahmedabad,70,High,Velocity Attack,2024-05-09,21:22:36
TXN00041150,CUST09822,112731.17,UPI,Ranchi,70,High,Velocity Attack,2022-06-07,17:09:13
TXN00054017,CUST06500,5278.07,UPI,Aurangabad,65,High,Velocity Attack,2022-01-22,11:27:25
TXN00011489,CUST00842,1925.28,UPI,Navi Mumbai,65,High,Velocity Attack,2023-10-14,08:31:00
TXN00078229,CUST08960,200000.0,UPI,Ranchi,60,High,Velocity Attack,2024-09-13,14:51:59
TXN00045813,CUST04838,130426.94,UPI,Lucknow,60,High,Velocity Attack,2024-10-18,21:47:05
TXN00079821,CUST03153,102930.84,UPI,Navi Mumbai,60,High,Velocity Attack,2022-02-04,12:21:21
TXN00064770,CUST06188,33872.89,UPI,Vadodara,55,Medium,Velocity Attack,2023-03-24,16:38:21
TXN00061805,CUST04228,5947.61,UPI,Coimbatore,55,Medium,Velocity Attack,2022-01-21,17:40:20
TXN00087588,CUST08619,3251.02,UPI,Gurugram,55,Medium,Velocity Attack,2025-11-06,17:13:43
TXN00037639,CUST06001,2712.65,UPI,Patna,55,Medium,Velocity Attack,2024-08-14,21:38:48
TXN00043391,CUST08579,1172.82,UPI,Chennai,55,Medium,Velocity Attack,2023-10-19,23:16:38
TXN00018949,CUST04925,454.1,UPI,Aurangabad,55,Medium,Velocity Attack,2022-05-29,21:37:35
TXN00057907,CUST05754,90552.27,UPI,Chandigarh,50,Medium,Velocity Attack,2021-08-18,17:11:35
TXN00025632,CUST03677,65689.84,UPI,Ahmedabad,50,Medium,Velocity Attack,2025-01-27,01:13:52
TXN00070883,CUST00005,61199.12,UPI,Kolkata,50,Medium,Velocity Attack,2022-08-30,09:39:31
TXN00032136,CUST03188,59834.15,UPI,Bhubaneswar,50,Medium,Velocity Attack,2023-03-29,10:07:05
TXN00055833,CUST07593,51690.71,UPI,Nagpur,50,Medium,Velocity Attack,2024-06-23,19:45:41
TXN00065002,CUST06500,38679.24,UPI,Lucknow,50,Medium,Velocity Attack,2024-07-19,02:42:50
TXN00095776,CUST07330,37607.25,UPI,Vadodara,50,Medium,Velocity Attack,2023-06-28,03:05:15
TXN00025133,CUST06108,30062.26,UPI,Mumbai,50,Medium,Velocity Attack,2025-03-04,22:56:49
TXN00058368,CUST07013,29298.72,UPI,Bengaluru,50,Medium,Velocity Attack,2024-07-17,21:26:11
TXN00048846,CUST07816,19300.13,UPI,Navi Mumbai,50,Medium,Velocity Attack,2023-01-24,20:30:37
TXN00081161,CUST09758,19008.64,UPI,Bhubaneswar,50,Medium,Velocity Attack,2024-09-29,00:01:18
TXN00069300,CUST03599,16772.72,UPI,Lucknow,50,Medium,Velocity Attack,2024-11-03,22:50:53
TXN00037250,CUST05190,13560.23,UPI,Nagpur,50,Medium,Velocity Attack,2023-09-13,22:32:34
TXN00060986,CUST05636,12986.04,UPI,Hyderabad,50,Medium,Velocity Attack,2022-09-04,04:33:16
TXN00046849,CUST05380,12717.91,UPI,Aurangabad,50,Medium,Velocity Attack,2025-07-24,16:25:13
TXN00086138,CUST09876,12090.94,UPI,Thane,50,Medium,Velocity Attack,2023-07-01,04:49:05
TXN00010875,CUST01816,9238.26,UPI,Aurangabad,50,Medium,Velocity Attack,2022-12-24,14:18:39
TXN00045172,CUST09489,8587.43,UPI,Gurugram,50,Medium,Velocity Attack,2021-12-07,14:21:08
TXN00080398,CUST09953,8127.59,UPI,Surat,50,Medium,Velocity Attack,2024-07-03,12:27:23
TXN00054452,CUST03604,7860.64,UPI,Bengaluru,50,Medium,Velocity Attack,2024-12-22,13:04:45
TXN00036654,CUST03290,7208.89,UPI,Pune,50,Medium,Velocity Attack,2021-12-06,06:47:19
TXN00005268,CUST05345,6716.43,UPI,Lucknow,50,Medium,Velocity Attack,2024-07-11,22:11:50
TXN00074435,CUST09798,6248.65,UPI,Lucknow,50,Medium,Velocity Attack,2025-11-03,01:39:09
TXN00050372,CUST00383,6232.14,UPI,Noida,50,Medium,Velocity Attack,2021-05-27,08:45:43
TXN00054823,CUST06519,5760.56,UPI,Thiruvananthapuram,50,Medium,Velocity Attack,2023-10-16,05:13:01
TXN00038060,CUST04359,5408.63,UPI,Kochi,50,Medium,Velocity Attack,2023-10-19,17:30:26
TXN00040577,CUST04239,4813.67,UPI,Jaipur,50,Medium,Velocity Attack,2021-08-25,21:17:24
TXN00019854,CUST02427,4651.21,UPI,Chandigarh,50,Medium,Velocity Attack,2021-06-25,04:31:41
TXN00039530,CUST02589,4424.81,UPI,Delhi,50,Medium,Velocity Attack,2023-02-05,03:23:31
TXN00089905,CUST08134,3544.15,UPI,Mysuru,50,Medium,Velocity Attack,2021-12-08,20:54:26
TXN00026011,CUST00852,2556.84,UPI,Navi Mumbai,50,Medium,Velocity Attack,2022-10-29,00:42:19
TXN00039841,CUST06138,2180.39,UPI,Chennai,50,Medium,Velocity Attack,2022-06-24,23:07:24
TXN00034950,CUST03027,1868.4,UPI,Indore,50,Medium,Velocity Attack,2021-11-01,19:01:41
TXN00033694,CUST07746,1675.78,UPI,Ahmedabad,50,Medium,Velocity Attack,2021-11-09,23:16:13
TXN00074797,CUST03264,1556.26,UPI,Indore,50,Medium,Velocity Attack,2023-10-04,14:54:38
TXN00006658,CUST07613,1541.89,UPI,Nagpur,50,Medium,Velocity Attack,2021-02-13,00:42:15
TXN00014792,CUST07548,1541.33,UPI,Surat,50,Medium,Velocity Attack,2024-08-01,06:38:28
TXN00076989,CUST04184,1202.74,UPI,Ranchi,50,Medium,Velocity Attack,2023-09-18,08:18:40
TXN00007134,CUST00161,1144.75,UPI,Kochi,50,Medium,Velocity Attack,2024-02-05,09:47:05
TXN00042528,CUST00949,1140.87,UPI,Visakhapatnam,50,Medium,Velocity Attack,2024-05-06,05:35:56
TXN00089452,CUST03886,1121.36,UPI,Surat,50,Medium,Velocity Attack,2025-09-07,12:12:49
TXN00083281,CUST00842,1035.84,UPI,Lucknow,50,Medium,Velocity Attack,2025-07-29,22:41:00
TXN00053837,CUST02081,921.34,UPI,Hyderabad,50,Medium,Velocity Attack,2024-05-03,07:07:49
TXN00059446,CUST00974,856.36,UPI,Coimbatore,50,Medium,Velocity Attack,2025-10-22,08:49:21
TXN00070561,CUST04818,825.85,UPI,Aurangabad,50,Medium,Velocity Attack,2025-12-17,20:57:08
TXN00054175,CUST05570,825.72,UPI,Navi Mumbai,50,Medium,Velocity Attack,2021-01-11,23:22:32
TXN00089244,CUST04712,817.07,UPI,Kochi,50,Medium,Velocity Attack,2023-03-06,11:54:53
TXN00020772,CUST02247,613.04,UPI,Indore,50,Medium,Velocity Attack,2025-07-06,22:59:49
TXN00045506,CUST00198,487.22,UPI,Kochi,50,Medium,Velocity Attack,2021-10-24,14:20:10
